participant_ID,position,validity,trial,phase,response,rt
P101,left,invalid,5,exhale,correct,0.4962852
P101,right,valid,6,exhale,correct,0.4731167
P101,left,invalid,7,exhale,correct,0.4263883
P101,left,valid,8,exhale,correct,0.3488038
P101,left,invalid,9,exhale,correct,0.4561317
P101,right,invalid,10,exhale,correct,0.4129762
P101,left,invalid,11,exhale,correct,0.4602463
P101,right,valid,12,exhale,correct,0.4815832
P101,catch,catch,13,exhale,correct,NA
P101,left,invalid,14,exhale,correct,0.5321825
P101,left,valid,15,exhale,correct,0.4359071
P101,catch,catch,16,exhale,correct,NA
P101,catch,catch,17,exhale,correct,NA
P101,right,invalid,18,exhale,correct,0.4879461
P101,catch,catch,19,exhale,correct,NA
P101,right,invalid,20,exhale,correct,0.5600682
P101,left,valid,21,exhale,correct,0.5045077
P101,right,valid,22,exhale,correct,0.5129282
P101,left,invalid,23,exhale,correct,0.6662579
P101,right,valid,24,exhale,correct,0.5122849
P101,left,invalid,25,exhale,correct,0.3675887
P101,left,valid,26,exhale,correct,0.63289
P101,right,valid,27,exhale,correct,0.397029
P101,catch,catch,28,exhale,correct,NA
P101,right,valid,29,exhale,correct,0.3873829
P101,right,valid,30,exhale,correct,0.3984017
P101,left,valid,31,exhale,correct,0.3643389
P101,right,valid,32,exhale,correct,0.377271
P101,left,invalid,33,exhale,correct,0.481401
P101,catch,catch,34,exhale,correct,NA
P101,right,valid,35,exhale,correct,0.4151
P101,left,invalid,36,exhale,correct,0.5439488
P101,right,invalid,37,exhale,correct,0.4840617
P101,right,invalid,38,exhale,correct,0.5369631
P101,right,valid,39,exhale,correct,0.9782623
P101,right,invalid,40,exhale,correct,0.4319302
P101,catch,catch,41,exhale,correct,NA
P101,left,valid,42,exhale,correct,0.4340171
P101,catch,catch,43,exhale,correct,NA
P101,right,invalid,44,exhale,correct,0.5362879
P101,right,invalid,45,exhale,correct,0.5066047
P101,right,valid,46,exhale,correct,0.4419176
P101,left,valid,47,exhale,correct,0.3455224
P101,left,invalid,48,exhale,correct,0.3866862
P101,catch,catch,49,exhale,correct,NA
P101,left,valid,50,exhale,correct,0.4370914
P101,left,valid,51,exhale,correct,0.5389137
P101,left,invalid,52,exhale,correct,0.4009987
P101,left,valid,53,exhale,correct,0.3600982
P101,catch,catch,54,exhale,correct,NA
P101,right,invalid,55,exhale,correct,0.4070151
P101,left,valid,56,exhale,correct,0.4123063
P101,right,valid,57,exhale,correct,0.4087405
P101,left,invalid,58,exhale,correct,0.3767621
P101,right,invalid,59,exhale,correct,0.4121186
P102,catch,catch,0,exhale,correct,NA
P102,catch,catch,1,exhale,correct,NA
P102,right,invalid,2,exhale,correct,0.4879295
P102,right,invalid,3,exhale,correct,0.4670977
P102,left,valid,4,exhale,correct,0.4303829
P102,left,invalid,5,exhale,correct,0.4948994
P102,right,valid,6,exhale,correct,0.4494721
P102,left,invalid,7,exhale,correct,0.4973964
P102,left,valid,8,exhale,correct,0.4449184
P102,left,invalid,9,exhale,correct,0.5566158
P102,right,invalid,10,exhale,correct,0.4281048
P102,left,invalid,11,exhale,correct,0.4306124
P102,right,valid,12,exhale,correct,0.4043118
P102,catch,catch,13,exhale,correct,NA
P102,left,invalid,14,exhale,correct,0.454818
P102,left,valid,15,exhale,correct,0.4510641
P102,catch,catch,16,exhale,correct,NA
P102,catch,catch,17,exhale,correct,NA
P102,right,invalid,18,exhale,correct,0.4839821
P102,catch,catch,19,exhale,correct,NA
P102,right,invalid,20,exhale,correct,0.4701218
P102,left,valid,21,exhale,correct,0.4220272
P102,right,valid,22,exhale,correct,0.4074003
P102,left,invalid,23,exhale,correct,0.4114983
P102,right,valid,24,exhale,correct,0.3835844
P102,left,invalid,25,exhale,correct,0.4298932
P102,left,valid,26,exhale,correct,0.4106204
P102,right,valid,27,exhale,correct,0.4553251
P102,catch,catch,28,exhale,correct,NA
P102,right,valid,29,exhale,correct,0.3831495
P102,right,valid,30,exhale,correct,0.4126812
P102,left,valid,31,exhale,correct,0.4208764
P102,right,valid,32,exhale,correct,0.5525257
P102,left,invalid,33,exhale,correct,0.4025063
P102,catch,catch,34,exhale,correct,NA
P102,right,valid,35,exhale,correct,0.4381537
P102,left,invalid,36,exhale,correct,0.4076877
P102,right,invalid,37,exhale,correct,0.4977908
P102,right,invalid,38,exhale,correct,0.5255966
P102,right,valid,39,exhale,correct,0.4126448
P102,right,invalid,40,exhale,correct,0.4440085
P102,catch,catch,41,exhale,correct,NA
P102,left,valid,42,exhale,correct,0.4582183
P102,catch,catch,43,exhale,correct,NA
P102,right,invalid,44,exhale,correct,0.4217364
P102,right,invalid,45,exhale,correct,0.5393908
P102,right,valid,46,exhale,correct,0.4345803
P102,left,valid,47,exhale,correct,0.4001604
P102,left,invalid,48,exhale,correct,0.4724641
P102,catch,catch,49,exhale,correct,NA
P102,left,valid,50,exhale,correct,0.3738984
P102,left,valid,51,exhale,correct,0.4392467
P102,left,invalid,52,exhale,correct,0.4724409
P102,left,valid,53,exhale,correct,0.3552966
P102,catch,catch,54,exhale,correct,NA
P102,right,invalid,55,exhale,correct,0.6163882
P102,left,valid,56,exhale,correct,0.4049873
P102,right,valid,57,exhale,correct,0.4220792
P102,left,invalid,58,exhale,correct,0.423432
P102,right,invalid,59,exhale,correct,0.4664714
P102,catch,catch,0,inhale,correct,NA
P102,catch,catch,1,inhale,correct,NA
P102,right,invalid,2,inhale,correct,0.432012
P102,right,invalid,3,inhale,correct,0.4303621
P102,left,valid,4,inhale,correct,0.3947306
P102,left,invalid,5,inhale,correct,0.4063223
P102,right,valid,6,inhale,correct,0.3614475
P102,left,invalid,7,inhale,correct,0.4421708
P102,left,valid,8,inhale,correct,0.4204441
P102,left,invalid,9,inhale,correct,0.4297896
P102,right,invalid,10,inhale,correct,0.4249385
P102,left,invalid,11,inhale,correct,0.4582217
P102,right,valid,12,inhale,correct,0.3783949
P102,catch,catch,13,inhale,correct,NA
P102,left,invalid,14,inhale,correct,0.5625517
P102,left,valid,15,inhale,correct,0.3943389
P102,catch,catch,16,inhale,correct,NA
P102,catch,catch,17,inhale,correct,NA
P102,right,invalid,18,inhale,correct,0.4980083
P102,catch,catch,19,inhale,correct,NA
P102,right,invalid,20,inhale,correct,0.4462143
P102,left,valid,21,inhale,correct,0.4878695
P102,right,valid,22,inhale,correct,0.4690466
P102,left,invalid,23,inhale,correct,0.450291
P102,right,valid,24,inhale,correct,0.3994232
P102,left,invalid,25,inhale,correct,0.3920511
P102,left,valid,26,inhale,correct,0.4616439
P102,right,valid,27,inhale,correct,0.4173625
P102,catch,catch,28,inhale,correct,NA
P102,right,valid,29,inhale,correct,0.4901516
P102,right,valid,30,inhale,correct,0.4336736
P102,left,valid,31,inhale,correct,0.4526807
P102,right,valid,32,inhale,correct,0.4159444
P102,left,invalid,33,inhale,correct,0.4267367
P102,catch,catch,34,inhale,correct,NA
P102,right,valid,35,inhale,correct,0.4165093
P102,left,invalid,36,inhale,correct,0.4691862
P102,right,invalid,37,inhale,correct,0.4095119
P102,right,invalid,38,inhale,correct,0.4198176
P102,right,valid,39,inhale,correct,0.4242928
P102,right,invalid,40,inhale,correct,0.4738512
P102,catch,catch,41,inhale,correct,NA
P102,left,valid,42,inhale,correct,0.4516145
P102,catch,catch,43,inhale,correct,NA
P102,right,invalid,44,inhale,correct,0.4269847
P102,right,invalid,45,inhale,correct,0.4012826
P102,right,valid,46,inhale,correct,0.4137162
P102,left,valid,47,inhale,correct,0.3868843
P102,left,invalid,48,inhale,correct,0.3719779
P102,catch,catch,49,inhale,correct,NA
P102,left,valid,50,inhale,correct,0.484541
P102,left,valid,51,inhale,correct,0.4821447
P102,left,invalid,52,inhale,correct,0.400666
P102,left,valid,53,inhale,correct,0.5375372
P102,catch,catch,54,inhale,correct,NA
P102,right,invalid,55,inhale,correct,0.4653424
P102,left,valid,56,inhale,correct,0.4035907
P102,right,valid,57,inhale,correct,0.4532131
P102,left,invalid,58,inhale,correct,0.3815754
P102,right,invalid,59,inhale,correct,0.3936573
P103,catch,catch,0,inhale,correct,NA
P103,catch,catch,1,inhale,correct,NA
P103,right,invalid,2,inhale,correct,0.5501076
P103,right,invalid,3,inhale,correct,0.4946882
P103,left,valid,4,inhale,correct,0.4292145
P103,left,invalid,5,inhale,correct,0.4314982
P103,right,valid,6,inhale,correct,0.3407074
P103,left,invalid,7,inhale,correct,0.4062179
P103,left,valid,8,inhale,correct,0.423892
P103,left,invalid,9,inhale,correct,0.4181109
P103,right,invalid,10,inhale,correct,0.4543889
P103,left,invalid,11,inhale,correct,0.458458
P103,right,valid,12,inhale,correct,0.4363818
P103,catch,catch,13,inhale,correct,NA
P103,left,invalid,14,inhale,correct,0.4147615
P103,left,valid,15,inhale,correct,0.4300074
P103,catch,catch,16,inhale,incorrect,0.3032789
P103,catch,catch,17,inhale,correct,NA
P103,right,invalid,18,inhale,correct,0.636816
P103,catch,catch,19,inhale,correct,NA
P103,right,invalid,20,inhale,correct,0.5120509
P103,left,valid,21,inhale,correct,0.402655
P103,right,valid,22,inhale,correct,0.460399
P103,left,invalid,23,inhale,correct,0.4662338
P103,right,valid,24,inhale,correct,0.4251843
P103,left,invalid,25,inhale,correct,0.4178613
P103,left,valid,26,inhale,correct,0.540505
P103,right,valid,27,inhale,correct,0.578637
P103,catch,catch,28,inhale,correct,NA
P103,right,valid,29,inhale,correct,0.6047765
P103,right,valid,30,inhale,correct,0.4334042
P103,left,valid,31,inhale,correct,0.4172191
P103,right,valid,32,inhale,correct,0.4414712
P103,left,invalid,33,inhale,correct,0.3383944
P103,catch,catch,34,inhale,correct,NA
P103,right,valid,35,inhale,correct,0.5397323
P103,left,invalid,36,inhale,correct,0.4463831
P103,right,invalid,37,inhale,correct,0.5434415
P103,right,invalid,38,inhale,correct,0.507954
P103,right,valid,39,inhale,correct,0.5317757
P103,right,invalid,40,inhale,correct,0.5195091
P103,catch,catch,41,inhale,correct,NA
P103,left,valid,42,inhale,correct,0.4046714
P103,catch,catch,43,inhale,correct,NA
P103,right,invalid,44,inhale,correct,0.5452129
P103,right,invalid,45,inhale,correct,0.5177433
P103,right,valid,46,inhale,correct,0.4052081
P103,left,valid,47,inhale,correct,0.3515761
P103,left,invalid,48,inhale,correct,0.3601936
P103,catch,catch,49,inhale,correct,NA
P103,left,valid,50,inhale,correct,0.4070244
P103,left,valid,51,inhale,correct,0.4879419
P103,left,invalid,52,inhale,correct,0.5066722
P103,left,valid,53,inhale,correct,0.4444844
P103,catch,catch,54,inhale,correct,NA
P103,right,invalid,55,inhale,correct,0.5555823
P103,left,valid,56,inhale,correct,0.4393944
P103,right,valid,57,inhale,correct,0.7154416
P103,left,invalid,58,inhale,correct,0.394727
P103,right,invalid,59,inhale,correct,0.5315534
P103,catch,catch,0,exhale,correct,NA
P103,catch,catch,1,exhale,correct,NA
P103,right,invalid,2,exhale,correct,0.5126471
P103,right,invalid,3,exhale,correct,0.5209741
P103,left,valid,4,exhale,correct,0.4349861
P103,left,invalid,5,exhale,correct,0.5194355
P103,right,valid,6,exhale,correct,0.9171964
P103,left,invalid,7,exhale,correct,0.4844533
P103,left,valid,8,exhale,correct,0.386023
P103,left,invalid,9,exhale,correct,0.4056235
P103,right,invalid,10,exhale,correct,0.3387335
P103,left,invalid,11,exhale,correct,0.3911343
P103,right,valid,12,exhale,correct,0.4818559
P103,catch,catch,13,exhale,correct,NA
P103,left,invalid,14,exhale,correct,0.4273452
P103,left,valid,15,exhale,correct,0.3431097
P103,catch,catch,16,exhale,correct,NA
P103,catch,catch,17,exhale,correct,NA
P103,right,invalid,18,exhale,correct,0.5655119
P103,catch,catch,19,exhale,correct,NA
P103,right,invalid,20,exhale,correct,0.7067521
P103,left,valid,21,exhale,correct,0.4066941
P103,right,valid,22,exhale,correct,0.4441429
P103,left,invalid,23,exhale,correct,0.4813391
P103,right,valid,24,exhale,correct,0.3352522
P103,left,invalid,25,exhale,correct,0.4228439
P103,left,valid,26,exhale,correct,0.4061565
P103,right,valid,27,exhale,correct,0.4783247
P103,catch,catch,28,exhale,correct,NA
P103,right,valid,29,exhale,correct,0.4848838
P103,right,valid,30,exhale,correct,0.4604946
P103,left,valid,31,exhale,correct,0.4251514
P103,right,valid,32,exhale,correct,0.3608843
P103,left,invalid,33,exhale,correct,0.4864387
P103,catch,catch,34,exhale,correct,NA
P103,right,valid,35,exhale,correct,0.4628274
P103,left,invalid,36,exhale,correct,0.6389413
P103,right,invalid,37,exhale,correct,0.4528948
P103,right,invalid,38,exhale,correct,0.5130153
P103,right,valid,39,exhale,correct,0.9315279
P103,right,invalid,40,exhale,correct,0.3677435
P103,catch,catch,41,exhale,correct,NA
P103,left,valid,42,exhale,correct,0.5310474
P103,catch,catch,43,exhale,correct,NA
P103,right,invalid,44,exhale,correct,0.4868916
P103,right,invalid,45,exhale,correct,0.462404
P103,right,valid,46,exhale,correct,0.3551137
P103,left,valid,47,exhale,correct,0.5577029
P103,left,invalid,48,exhale,correct,0.469064
P103,catch,catch,49,exhale,correct,NA
P103,left,valid,50,exhale,correct,0.3923871
P103,left,valid,51,exhale,correct,0.4671639
P103,left,invalid,52,exhale,correct,0.3827138
P103,left,valid,53,exhale,correct,0.3606745
P103,catch,catch,54,exhale,correct,NA
P103,right,invalid,55,exhale,correct,0.5575414
P103,left,valid,56,exhale,correct,0.4699513
P103,right,valid,57,exhale,correct,0.3665747
P103,left,invalid,58,exhale,correct,0.3918962
P103,right,invalid,59,exhale,correct,0.5818018
P104,catch,catch,0,exhale,correct,NA
P104,catch,catch,1,exhale,correct,NA
P104,right,invalid,2,exhale,correct,0.3530332
P104,right,invalid,3,exhale,correct,0.3342273
P104,left,valid,4,exhale,correct,0.4382418
P104,left,invalid,5,exhale,correct,0.5397545
P104,right,valid,6,exhale,correct,0.306763
P104,left,invalid,7,exhale,correct,0.3774667
P104,left,valid,8,exhale,correct,0.4286507
P104,left,invalid,9,exhale,correct,0.4437866
P104,right,invalid,10,exhale,correct,0.381962
P104,left,invalid,11,exhale,correct,0.3797453
P104,right,valid,12,exhale,correct,0.3844724
P104,catch,catch,13,exhale,correct,NA
P104,left,invalid,14,exhale,correct,0.4386846
P104,left,valid,15,exhale,correct,0.3414363
P104,catch,catch,16,exhale,correct,NA
P104,catch,catch,17,exhale,correct,NA
P104,right,invalid,18,exhale,correct,0.3466477
P104,catch,catch,19,exhale,correct,NA
P104,right,invalid,20,exhale,correct,0.3726336
P104,left,valid,21,exhale,correct,0.3733891
P104,right,valid,22,exhale,correct,0.3574016
P104,left,invalid,23,exhale,correct,0.3538634
P104,right,valid,24,exhale,correct,0.3452038
P104,left,invalid,25,exhale,correct,0.6670294
P104,left,valid,26,exhale,correct,0.4003637
P104,right,valid,27,exhale,correct,0.3614292
P104,catch,catch,28,exhale,correct,NA
P104,right,valid,29,exhale,correct,0.4387288
P104,right,valid,30,exhale,correct,0.3792654
P104,left,valid,31,exhale,correct,0.4130158
P104,right,valid,32,exhale,correct,0.4071355
P104,left,invalid,33,exhale,correct,0.3414213
P104,catch,catch,34,exhale,correct,NA
P104,right,valid,35,exhale,correct,0.5352935
P104,left,invalid,36,exhale,correct,0.6917954
P104,right,invalid,37,exhale,correct,0.369819
P104,right,invalid,38,exhale,correct,0.3441808
P104,right,valid,39,exhale,correct,0.3577575
P104,right,invalid,40,exhale,correct,0.3776298
P104,catch,catch,41,exhale,correct,NA
P104,left,valid,42,exhale,correct,0.399982
P104,catch,catch,43,exhale,correct,NA
P104,right,invalid,44,exhale,correct,0.4143862
P104,right,invalid,45,exhale,correct,0.3990456
P104,right,valid,46,exhale,correct,0.3641538
P104,left,valid,47,exhale,correct,0.3695211
P104,left,invalid,48,exhale,correct,0.411257
P104,catch,catch,49,exhale,correct,NA
P104,left,valid,50,exhale,correct,0.3240556
P104,left,valid,51,exhale,correct,0.3433212
P104,left,invalid,52,exhale,correct,0.4071075
P104,left,valid,53,exhale,correct,0.4160763
P104,catch,catch,54,exhale,correct,NA
P104,right,invalid,55,exhale,correct,0.3980212
P104,left,valid,56,exhale,correct,0.3779029
P104,right,valid,57,exhale,correct,0.3716759
P104,left,invalid,58,exhale,correct,0.3338764
P104,right,invalid,59,exhale,correct,0.3042478
P104,catch,catch,0,inhale,correct,NA
P104,catch,catch,1,inhale,correct,NA
P104,right,invalid,2,inhale,correct,0.4124433
P104,right,invalid,3,inhale,correct,0.4392281
P104,left,valid,4,inhale,correct,0.4096926
P104,left,invalid,5,inhale,correct,0.3381369
P104,right,valid,6,inhale,correct,0.3162899
P104,left,invalid,7,inhale,correct,0.3229578
P104,left,valid,8,inhale,correct,0.3027583
P104,left,invalid,9,inhale,correct,0.2772126
P104,right,invalid,10,inhale,correct,0.2801657
P104,left,invalid,11,inhale,correct,0.4896235
P104,right,valid,12,inhale,correct,0.3399287
P104,catch,catch,13,inhale,correct,NA
P104,left,invalid,14,inhale,correct,0.413806
P104,left,valid,15,inhale,correct,0.3815587
P104,catch,catch,16,inhale,correct,NA
P104,catch,catch,17,inhale,correct,NA
P104,right,invalid,18,inhale,correct,0.3971409
P104,catch,catch,19,inhale,correct,NA
P104,right,invalid,20,inhale,correct,0.3832934
P104,left,valid,21,inhale,correct,0.3742553
P104,right,valid,22,inhale,correct,0.356918
P104,left,invalid,23,inhale,correct,0.4699552
P104,right,valid,24,inhale,correct,0.3635644
P104,left,invalid,25,inhale,correct,0.3550666
P104,left,valid,26,inhale,correct,0.3158595
P104,right,valid,27,inhale,correct,0.3492854
P104,catch,catch,28,inhale,correct,NA
P104,right,valid,29,inhale,correct,0.3440035
P104,right,valid,30,inhale,correct,0.3556874
P104,left,valid,31,inhale,correct,0.3371611
P104,right,valid,32,inhale,correct,0.2766031
P104,left,invalid,33,inhale,correct,0.2891963
P104,catch,catch,34,inhale,correct,NA
P104,right,valid,35,inhale,correct,0.4972767
P104,left,invalid,36,inhale,correct,0.3579478
P104,right,invalid,37,inhale,correct,0.337543
P104,right,invalid,38,inhale,correct,0.3749097
P104,right,valid,39,inhale,correct,0.4400748
P104,right,invalid,40,inhale,correct,0.3811119
P104,catch,catch,41,inhale,correct,NA
P104,left,valid,42,inhale,correct,0.3186852
P104,catch,catch,43,inhale,correct,NA
P104,right,invalid,44,inhale,correct,0.3688455
P104,right,invalid,45,inhale,correct,0.3932582
P104,right,valid,46,inhale,correct,0.4098255
P104,left,valid,47,inhale,correct,0.3258454
P104,left,invalid,48,inhale,correct,0.242953
P104,catch,catch,49,inhale,correct,NA
P104,left,valid,50,inhale,correct,0.3254364
P104,left,valid,51,inhale,correct,0.4358525
P104,left,invalid,52,inhale,correct,0.3708223
P104,left,valid,53,inhale,correct,0.3851459
P104,catch,catch,54,inhale,correct,NA
P104,right,invalid,55,inhale,correct,0.4173612
P104,left,valid,56,inhale,correct,0.4005413
P104,right,valid,57,inhale,correct,0.4274436
P104,left,invalid,58,inhale,correct,0.4001707
P104,right,invalid,59,inhale,correct,0.337362
P105,catch,catch,0,inhale,correct,NA
P105,catch,catch,1,inhale,correct,NA
P105,right,invalid,2,inhale,correct,0.3823913
P105,right,invalid,3,inhale,correct,0.3978158
P105,left,valid,4,inhale,correct,0.3126029
P105,left,invalid,5,inhale,correct,0.370823
P105,right,valid,6,inhale,correct,0.3938764
P105,left,invalid,7,inhale,correct,0.3296248
P105,left,valid,8,inhale,correct,0.2698229
P105,left,invalid,9,inhale,correct,0.3819821
P105,right,invalid,10,inhale,correct,0.3991066
P105,left,invalid,11,inhale,correct,0.368305
P105,right,valid,12,inhale,correct,0.2611493
P105,catch,catch,13,inhale,incorrect,0.2740851
P105,left,invalid,14,inhale,correct,0.406455
P105,left,valid,15,inhale,correct,0.4088453
P105,catch,catch,16,inhale,correct,NA
P105,catch,catch,17,inhale,correct,NA
P105,right,invalid,18,inhale,correct,0.4493418
P105,catch,catch,19,inhale,correct,NA
P105,right,invalid,20,inhale,correct,0.3811552
P105,left,valid,21,inhale,correct,0.3578414
P105,right,valid,22,inhale,correct,0.395311
P105,left,invalid,23,inhale,correct,0.3593638
P105,right,valid,24,inhale,correct,0.3613339
P105,left,invalid,25,inhale,correct,0.6133392
P105,left,valid,26,inhale,correct,0.3619944
P105,right,valid,27,inhale,correct,0.3019661
P105,catch,catch,28,inhale,correct,NA
P105,right,valid,29,inhale,correct,0.3354618
P105,right,valid,30,inhale,correct,0.3462968
P105,left,valid,31,inhale,correct,0.4091114
P105,right,valid,32,inhale,correct,0.3659873
P105,left,invalid,33,inhale,correct,0.3317835
P105,catch,catch,34,inhale,correct,NA
P105,right,valid,35,inhale,correct,0.4435182
P105,left,invalid,36,inhale,correct,0.4015173
P105,right,invalid,37,inhale,correct,0.4206098
P105,right,invalid,38,inhale,correct,0.3833543
P105,right,valid,39,inhale,correct,0.3372342
P105,right,invalid,40,inhale,correct,0.3182919
P105,catch,catch,41,inhale,correct,NA
P105,left,valid,42,inhale,correct,0.3793303
P105,catch,catch,43,inhale,incorrect,0.319035
P105,right,invalid,44,inhale,correct,0.3899482
P105,right,invalid,45,inhale,correct,0.7128016
P105,right,valid,46,inhale,correct,0.3611049
P105,left,valid,47,inhale,correct,0.4519121
P105,left,invalid,48,inhale,correct,0.4827414
P105,catch,catch,49,inhale,correct,NA
P105,left,valid,50,inhale,correct,0.4293561
P105,left,valid,51,inhale,correct,0.4163081
P105,left,invalid,52,inhale,correct,0.3833119
P105,left,valid,53,inhale,correct,0.5285638
P105,catch,catch,54,inhale,correct,NA
P105,right,invalid,55,inhale,correct,0.4181605
P105,left,valid,56,inhale,correct,0.4429619
P105,right,valid,57,inhale,correct,0.350954
P105,left,invalid,58,inhale,correct,0.5170541
P105,right,invalid,59,inhale,correct,0.3507267
P105,catch,catch,0,exhale,correct,NA
P105,catch,catch,1,exhale,correct,NA
P105,right,invalid,2,exhale,correct,0.3708731
P105,right,invalid,3,exhale,correct,0.3120773
P105,left,valid,4,exhale,correct,0.5200001
P105,left,invalid,5,exhale,correct,0.3025973
P105,right,valid,6,exhale,correct,0.3877531
P105,left,invalid,7,exhale,correct,0.2852784
P105,left,valid,8,exhale,correct,0.3278582
P105,left,invalid,9,exhale,correct,0.2848451
P105,right,invalid,10,exhale,correct,0.3480848
P105,left,invalid,11,exhale,correct,0.4245799
P105,right,valid,12,exhale,correct,0.3543967
P105,catch,catch,13,exhale,incorrect,0.2975996
P105,left,invalid,14,exhale,correct,0.3960039
P105,left,valid,15,exhale,correct,0.3906791
P105,catch,catch,16,exhale,correct,NA
P105,catch,catch,17,exhale,correct,NA
P105,right,invalid,18,exhale,correct,0.4535799
P105,catch,catch,19,exhale,correct,NA
P105,right,invalid,20,exhale,correct,0.4251052
P105,left,valid,21,exhale,correct,0.3990549
P105,right,valid,22,exhale,correct,0.5185229
P105,left,invalid,23,exhale,correct,0.3516475
P105,right,valid,24,exhale,correct,0.3949076
P105,left,invalid,25,exhale,correct,0.3750336
P105,left,valid,26,exhale,correct,0.3787368
P105,right,valid,27,exhale,correct,0.4256184
P105,catch,catch,28,exhale,incorrect,0.2677595
P105,right,valid,29,exhale,correct,0.4938239
P105,right,valid,30,exhale,correct,0.4203402
P105,left,valid,31,exhale,correct,0.4966229
P105,right,valid,32,exhale,correct,0.5802738
P105,left,invalid,33,exhale,correct,0.5447346
P105,catch,catch,34,exhale,correct,NA
P105,right,valid,35,exhale,correct,0.3673749
P105,left,invalid,36,exhale,correct,0.3583199
P105,right,invalid,37,exhale,correct,0.3301253
P105,right,invalid,38,exhale,correct,0.3221355
P105,right,valid,39,exhale,correct,0.3600129
P105,right,invalid,40,exhale,correct,0.3478118
P105,catch,catch,41,exhale,incorrect,0.3785855
P105,left,valid,42,exhale,correct,0.3912993
P105,catch,catch,43,exhale,correct,NA
P105,right,invalid,44,exhale,correct,0.3318917
P105,right,invalid,45,exhale,correct,0.5511391
P105,right,valid,46,exhale,correct,0.434656
P105,left,valid,47,exhale,correct,0.3843632
P105,left,invalid,48,exhale,correct,0.4338291
P105,catch,catch,49,exhale,correct,NA
P105,left,valid,50,exhale,correct,0.6506155
P105,left,valid,51,exhale,correct,0.4364113
P105,left,invalid,52,exhale,correct,0.3577853
P105,left,valid,53,exhale,correct,0.3142117
P105,catch,catch,54,exhale,correct,NA
P105,right,invalid,55,exhale,correct,0.4180446
P105,left,valid,56,exhale,correct,0.3657123
P105,right,valid,57,exhale,correct,0.3978821
P105,left,invalid,58,exhale,correct,0.418455
P105,right,invalid,59,exhale,correct,0.3917655
P106,catch,catch,0,exhale,correct,NA
P106,catch,catch,1,exhale,correct,NA
P106,right,invalid,2,exhale,correct,0.3679568
P106,right,invalid,3,exhale,correct,0.3450504
P106,left,valid,4,exhale,correct,0.3520233
P106,left,invalid,5,exhale,correct,0.372838
P106,right,valid,6,exhale,correct,0.3114565
